CNES,FANTASIA
0007498,RAQUEL CRISTINA DANI
0007633,BEATRIZ VALLE
0013463,SAO JOAO FARMACIAS 29
0013498,SAO JOAO FARMACIAS 36
0014826,SAO JOAO FARMACIAS 14
0015008,SAO JOAO FARMACIAS 22
0015067,CLINICA VASCULAR NIENCHESKI
0015105,VANESSA ALECSSANDRA BRUNHERI PEREIRA
0015237,RENATA DUTRA DE OLIVEIRA
0016640,CAROLINE CECCONELLO FISIOTERAPEUTA LTDA
0019410,MARCO AURELIO SILVA FILHO
0020273,CLINICA GHENO
0020303,LABORATORIO WEINMANN
0020451,LL SERVICOS MEDICOS
0020524,TODESCHINI E GOTTLIEB SAUDE DA MULHER SERVICOS MEDICOS
0023027,CLINICA PEDIATRICA BEATRICI
0024031,IVA MARIA SIMEAO
0024082,CONSULTORIO MEDICO NICOLAS SANCHEZ
0026107,D A S K K T ATIVIDADES DE ENFERMAGEM LTDA
0029262,EAP 1 PASSA SETE
0029335,CLINICA HAUSDENT
0029386,CPCLIN CONSULTORIO E PESQUISA CLINICA SS
0029599,PRONTICLIN SERVICOS DE SAUDE LTDA
0029823,WR SERVICOS MEDICOS
0029858,CARLA GONCALVES RODRIGUES
0030163,ISBS SERVICOS DE DERMATOLOGIA LTDA
0030791,INSTITUTO CRESCER BEM
0030805,FISIKALL
0030961,HOME CARE VALE DOS SINOS
0030996,LUCIANI MADRUGA DE MOURA
0031062,FABRICIO NOGUEIRA DA SILVA
0031461,UNIDADE DE SAUDE PRISIONAL COMPLEXO PECAN CANOAS
0031488,MEDIZIN SAUDE E ASSISTENCIA
0031569,CLINICA MARANATA
0031593,SUSANA KROLOW NUTRICIONISTA
0032042,CLINICA MEDICA VITALITA
0032069,EQUILIBRE FISIOTERAPIA
0032123,UNIDADE DE SAUDE PRISIONAL
0032379,IMUNIZI
0032387,MUNICIPIO DE SAO BORJA ESF 16
0032395,ESF 17
0032727,CENTRO CLINICO VITORIA
0032735,TRANQUILIZE ODONTO
0032778,TBM HOME CARE
0032794,SANDRA FATIMA MISSIO
0032972,EDSON PERAZZOLO FURQUIM
0033197,MARINA CHIODELLI SCOPEL
0033200,MORGANA RODRIGUES CLINICA MEDICA
0033243,CLINICA BENDER
0033332,ALLMED MATERIAIS CIRURGICOS
0033472,SERVICOS EM SAUDE METROPOLITANOS AMPLIADOS LTDA
0033693,BIANCA BIER DA CUNHA FONOAUDIOLOGIA LTDA
0033863,MARCIO ANDRE RIBAS
0034495,SIEGA E SIEGA
0035084,UBS MARINA
0035122,MEDTAMS
0035343,VEIGA SERVICOS DE SAUDE
0035378,SERVICO RESIDENCIAL TERAPEUTICO SRT 9 SUL CENTRO SUL
0035572,INTEGRALY ODONTOLOGIA E SAUDE INTEGRADA
0036668,FACCIN MENNA BARRETO
0036811,VASCULAR MBDC
0036994,ROBERTO RICK MARTINS
0037109,ISACHIEL KAUTZ
0037133,CONSULTORIO OPTOMETRICO
0037842,CARLA HELISA CALCAGNOTTO
0037982,SIMONE SCHMIDT
0037990,ROSANGELA COSTA
0038202,HUMANA MENTE
0038237,CARINE ANDREA WALBER MACHADO CARAZINHO
0038474,M GOLBSPAN LUTZ SERVICOS MEDICOS
0038490,LABORATORIO MOOGEN
0038504,PRONTOFISIOMAIS
0038695,PROGRAMA MELHOR EM CASA CANOAS
0039160,CENTRO DE SAUDE FISIOVIDA
0039209,SETRHA
0039217,ILUMINE ODONTOLOGIA
0039225,THIAGO CUSIN
0039268,LUKIANSKI ALVAREZ SERVICOS MEDICOS
0039284,CLINICA PSICOLOGIA CUIDADOSAMENTE
0039519,CATERINA AUGUSTA MOSSI FRIZZO
0039535,CHARLES DALEGRAVE
0039543,FISIOTERAPIA SAUDE SERVICOS ASSOCIADOS
0039551,IMMENSITA CLINICA MEDICA
0039799,EMERSON ROGERIO MORELLO
0039802,ANDRIUS BERARDI
0039810,CARLOS STANISLAU FLEURY MARCZYK
0039829,AUGUSTO CAMPAGNA TORRES
0040029,UNIDADE EAP CENTRO INTERIOR
0040940,MORADA NOVO RUMO
0041408,GADES
0041432,KARLO BITTENCOURT JOHNSTON
0041920,COMUNICATE SERVICOS DE FONOAUDIOLOGIA DIRECIONADA
0041955,VIVAMENTE SAUDE MENTAL
0042943,LUISA CARPENA FISIOTERAPEUTA
0042951,EQUIPE FACES
0042986,CESAR AUGUSTO VITORIA MARTINS
0042994,CLINICA ODONTOLOGICA AREAL
0043826,RICARDO LASEVITCH
0043958,PSICOLOGA FABIOLA RADAE GEWEHR CARGNIN
0044059,INTRINSICA SERVICOS DE PSICOLOGIA NUTRICAO E FONOAUDIOLOFIA
0044210,MULTI CLINICA BATISTA LTDA
0044261,SECRETARIA MUNICIPAL DE SAUDE IJUI
0044547,RAQUEL BARTZ KOCH
0044768,CLAUDIA DA SILVA MACHADO
0044814,RADIODENTE
0046426,LADO A LADO EQUOTERAPIA
0046620,PKF SERVICOS MEDICOS LTDA
0046876,UNIDADE BASICA DE SAUDE ORIENTAL
0047090,PAULA CARINA KLEINSCHMITT
0047201,MICHELE CRISTINA DA SILVA ENFERMAGEM
0047848,LAP DENT
0048070,CONSULTORIO ODONTOLOGICO DR JADER FELIPE BIANCONI NOVAES
0048089,DIGEPROCTO
0048224,ODONTO IMAGEM DIGITAL
0048518,SAO JOAO FARMACIAS 30
0049026,MAURICIO LUNARDI ASSISTENCIA MEDICA EIRELI
0049255,CONSULTORIO ODONTOLOGICO
0049328,RADIODENTE
0049344,SAO JOAO FARMACIAS 32
0049352,RIBAR SERVICOS MEDICOS
0049514,HERINGER MEDICINA
0049603,DEPARTAMENTO REGIONAL DO RIO GRANDE DO SUL
0049719,ATKINSON PROFISSIONAIS DA SAUDE
0049816,SAO JOAO FARMACIAS 34
0049824,AUDIOCLICK
0049840,BERGMANN OTORRINOLARINGOLOGIA
0049883,CLINICA UROLOGICA ERNANY BENDER
0049891,CIOFFI E BRESSAN SERVICOS MEDICOS
0049913,ALFAMED SERVICOS MEDICOS
0049964,C M SERVICOS MEDICOS SOCIEDADE SIMPLES
0050318,AFONSO WENNEKER ROVEDA
0050644,ANDRESSA MANTOVANI NICOLAI
0050822,J L CARDIO CLINICA DE CARDIOLOGIA SOCIEDADE SIMPLES LTDA
0050857,ORTODONTIA PRIETSCH
0050865,J P ATIVIDADES DE ENFERMAGEM LTDA
0050881,DENTAL CAD
0050911,CAMILA DA SILVA WEBER
0050962,BARIATRICLIN SERVICOS MEDICOS
0050997,SAO JOAO FARMACIAS 35
0051004,SAO JOAO FARMACIAS 38
0051012,GABRIELLE TAMANINI ADAMES
0051705,RAFAELLA RODRIGUES DA GAMA
0051802,CARDIO TERRA
0052027,LABORATORIO GEYER
0053082,VALIATI E GEIST SERVICOS MEDICOS
0053090,CLINICA MEDICA CANAL LTDA
0053104,PEEL MEDICINA ESTETICA
0053473,LUIZ FELIPE KAERCHER
0053678,SALUTEM SERVICOS EM NUTRICAO E SAUDE LTDA
0053694,CLAUDIA MULLER PINHO
0053708,STP ASSISTENCIA EM SAUDE LTDA
0053716,VANESSA DA VEIGA LIMA PROSPERI
0053759,CONSULTORIO ODONTOLOGICO DRA MARIANA SCHOLLER LTDA
0053783,PAOLA RODRIGUES BOTTEGA
0053805,THORAX ASSOCIAD0S
0053929,INSTITUTO DA FACE
0053937,CLINICA DE NUTRICAO KNAPP
0054305,CARDIO4D
0054445,CHRISTIAN BIDEL SCHWAMBACH CARAZINHO
0054577,CLINICA DRS
0054593,CLINICA DEVENS
0055123,GISELLE DAS CHAGAS MARQUES
0055174,DETOGNI ODONTOLOGIA
0055182,PALMA ODONTOLOGIA
0055220,BIMK ODONTOLOGIA
0055549,LEONARDO ANDRE SAIBEL
0055662,LAURA MAGALHAES MOREIRA
0055719,BORELI SERVICOS MEDICOS
0056200,MADEIRA SERICOS MEDICOS LTDA
0056413,RAMBO MEDICINA
0056774,CLINICA MEDICA JONAS LATTIK HICKMANN
0056960,CONSULTORIO DE FISIOTERAPIA GIANE SPULDARO
0057002,JULIA TREVISAN PSIQUIATRIA SOCIEDADE SIMPLES LTDA
0057134,CENTRO DE ESPECIALIDADES ROSA MARIA OLIBONI LUIZ
0057282,ANA MARIA RIBEIRO
0057347,AFMSS
0057444,CLINICA MEDICA DRA LUCIANE DONATO
0057568,CLINICA ODONTOLOGICA DRA VANESSA MACHADO EIRELI
0057584,CLINICA REIS ODONTOLOGIA ESPECIALIZADA
0057622,CLINICA TANCREDI
0057665,MARIA DE LOURDES MENEGOL TOAZZA
0057681,PRO VASC DIAGNOSTICO E TRATAMENTO
0057827,KONSTATI DESENVOLVIMENTO HUMANO E EMPRESARIAL
0057967,CUIDARE
0058386,PAULO RENATO NETO SALAZAR
0058394,CLINICA MUNICIPAL DE ESPECIALIDADES
0058742,MARINDIA GRACIOLLI
0058807,CER IV NOVO HAMBURGO
0058866,FARMACENTRO
0058939,FARMABIZ
0059072,VITALE
0060763,PLENITUDE CLINICA DE FISIOTERAPIA ESTETICA E SAUDE
0060836,INOVARE
0060887,LSS SERVICOS MEDICOS EM PNEUMOLOGIA EIRELI
0061034,MORGANA REBOUCAS CIA LTDA
0061042,AUSTER CENTRO ODONTOLOGICO LTDA
0061670,NORA LENA SCHNEIDER
0061697,ANGELA VALENTE WARLET
0061700,FARMACIA COMUNITARIA UPA CENTRO
0061719,FARMACIA COMUNITARIA UPA CANUDOS
0061727,CAMILA LONGONI
0061891,AUDIZIONE NEUROAUDIOLOGIA
0062359,FARMACIA NIVEA
0062383,HELOISE FABIAN SILVESTRE
0062405,ORLANDO FERRARI SERVICOS MEDICOS CARAZINHO
0062529,PREVINI LABORATORIO DE CITOPATOLOGIA
0062588,FRANCINE NIENOW
0063134,FARMACIA SANAR CARAZINHO
0063363,ARNONI CLINICA DE PSICOLOGIA
0063398,DERMAIS CLINICA MEDICA
0063509,VLD SERVICOS EM PSICOLOGIA
0063819,ROSSATTO E BALDINO CLINICA DE OFTALMOLOGIA LTDA
0064343,ELO SAUDE EMPRESARIAL
0064491,POSTO DE SAUDE DO PINHAL
0064815,CONSULTORIO MEDICO DE ANDRE L LOPES
0064882,INSTITUTO POS BARIATRICA
0065196,SERVGASSTRO SERVICOS MEDICOS LTDA
0065285,UBS CENTRO
0065315,NUTRICIONISTA CHAIANE GOULART DOARES
0065323,INOVAR ODONTOLOGIA ESPECIALIZADA
0065404,JANAINA CARVALHO SELL
0065420,SYLVIA TAVARES BARUM
0065544,BOMSOM APARELHOS AUDITIVOS
0065587,RAMPABOL SERVICOS MEDICOS SOCIEDADE SIMPLES LTDA
0065722,ORAL SIN IMPLANTES
0065730,CLINICA QUALITA
0065803,CAPITANIO B SERVICOS MEDICOS LTDA
0065870,RESIDENCIAL TERAPEUTICO BUTIA
0066001,EMANUELI FISIOTERAPIA E PILATES
0066699,RAQUEL VITOLA RIEGER
0067059,CONSULTORIO MEDICO NAGILA S ZIEBELL EIRELI
0067083,CONSULTORIO ODONTOLOGICO CHANANDU S LASCH
0067628,RMS SERVICOS MEDICOS S S LTDA
0067652,ODONTO BRASIL
0067695,TATILA HOLZSCHUH
0067814,CLINIDENTE
0068292,TEMIC SERVICOS DE ENFERMAGEM LTDA
0068454,KASSIA ENFERMAGEM
