CO_MUNICIP,DS_NOME
261080,PEDRA
314890,PEDRA DO INDAIA
240950,PEDRA GRANDE
314910,PEDRALVA
292410,PEDRAO
210820,PEDREIRAS
314920,PEDRINOPOLIS
171650,PEDRO AFONSO
240970,PEDRO AVELINO
500640,PEDRO GOMES
314930,PEDRO LEOPOLDO
171660,PEIXE
353730,PENAPOLIS
314950,PEQUERI
353750,PEREIRAS
411890,PEROLA
330120,CARMO
311430,CARMO DO PARANAIBA
520500,CARMO DO RIO VERDE
311450,CARMOPOLIS DE MINAS
240240,CARNAUBA DOS DANTAS
270180,CARNEIROS
250410,CARRAPATEIRA
311490,CASA GRANDE
170390,CASEARA
311510,CASSIA
520505,CASTELANDIA
410490,CASTRO
230360,CATARINA
510305,CLAUDIA
351190,CLEMENTINA
510310,COCALINHO
520551,COCALZINHO DE GOIAS
210330,CODO
510320,COLIDER
170550,COLINAS DO TOCANTINS
270210,COLONIA LEOPOLDINA
330095,COMENDADOR LEVY GASPARIAN
311710,CONCEICAO DA APARECIDA
311740,CONCEICAO DE IPANEMA
320170,CONCEICAO DO CASTELO
311750,CONCEICAO DO MATO DENTRO
311770,CONCEICAO DO RIO VERDE
311290,CAPUTIRA
351050,CARAGUATATUBA
351060,CARAPICUIBA
250407,CARAUBAS
351070,CARDOSO
220255,CARIDADE DO PIAUI
230320,CARIRIACU
150590,PORTO DE MOZ
510680,PORTO DOS GAUCHOS
354070,PORTO FERREIRA
431500,PORTO LUCENA
330411,PORTO REAL
110020,PORTO VELHO
431510,PORTO XAVIER
292540,POTIRAGUA
521450,NEROPOLIS
314130,MEDEIROS
292120,MIGUEL CALMON
353000,MIRA ESTRELA
411600,MIRASELVA
421090,MODELO
421100,MONDAI
353120,MONTE ALEGRE DO SUL
130260,MANAUS
313940,MANHUACU
352870,MARABA PAULISTA
510558,MARCELANDIA
171250,MARIANOPOLIS DO TOCANTINS
314020,MARIPA DE MINAS
421060,MASSARANDUBA
313780,LAMBARI
352650,LAVINIA
313835,LEME DO PRADO
352700,LINDOIA
240700,LUIS GOMES
110032,SAO MIGUEL DO GUAPORE
221040,SAO MIGUEL DO TAPUIO
130390,SAO PAULO DE OLIVENCA
330520,SAO PEDRO DA ALDEIA
421725,SAO PEDRO DE ALCANTARA
316150,SAO GERALDO
150745,SAO GERALDO DO ARAGUAIA
231240,SAO GONCALO DO AMARANTE
220980,SAO GONCALO DO PIAUI
270360,JAPARATINGA
411230,JAPIRA
500480,JAPORA
431113,JARI
521190,JATAI
210545,JATOBA
352530,JAU
313545,JENIPAPO DE MINAS
291800,JEQUIE
